driving_direction,location_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s,stratum,sat_gap_vs_star_pp
2,4,pi,0.7541290273578346,1.55,,,1.95,highd_external,severity,Weak TTC,555,0.2458709726421654,,-0.05,L4–D2,24.58709726421654
2,4,pi_tuned,0.978326856528247,1.4,2.05,2.3,1.95,highd_external,severity,Strong TTC,555,0.0216731434717529,0.0499999999999998,-0.05,L4–D2,2.16731434717529
2,4,pi_sd,1.0,1.4,2.0,2.25,2.0,highd_external,severity,Stopping-distance,555,0.0,0.0,0.0,L4–D2,0.0
2,4,rss_longitudinal,1.0,1.4,2.0,2.25,2.0,highd_external,severity,RSS longitudinal,555,0.0,0.0,0.0,L4–D2,0.0
1,5,star,0.9958932238193022,1.4,2.2,2.5,2.2,highd_external,frequency,Upper bound,1461,0.0,0.0,0.0,L5–D1,0.0
1,5,pi,0.561259411362081,1.95,,,1.95,highd_external,frequency,Weak TTC,1461,0.4346338124572212,,-0.2500000000000002,L5–D1,43.46338124572212
1,5,pi_tuned,0.9664613278576322,1.4,2.35,3.05,2.2,highd_external,frequency,Strong TTC,1461,0.02943189596167,0.1499999999999999,0.0,L5–D1,2.943189596167
1,5,pi_sd,0.9958932238193022,1.4,2.2,2.5,2.2,highd_external,frequency,Stopping-distance,1461,0.0,0.0,0.0,L5–D1,0.0
1,5,rss_longitudinal,0.9958932238193022,1.4,2.2,2.5,2.2,highd_external,frequency,RSS longitudinal,1461,0.0,0.0,0.0,L5–D1,0.0
1,5,star,0.9926605816605384,1.7,2.45,2.85,2.45,highd_external,severity,Upper bound,1461,0.0,0.0,0.0,L5–D1,0.0
1,5,pi,0.4668254145605967,,,,2.1,highd_external,severity,Weak TTC,1461,0.5258351670999417,,-0.3500000000000001,L5–D1,52.58351670999417
1,5,pi_tuned,0.9435037132748926,1.7,2.85,,2.45,highd_external,severity,Strong TTC,1461,0.0491568683856458,0.3999999999999999,0.0,L5–D1,4.9156868385645796
1,5,pi_sd,0.9926605816605384,1.7,2.5,2.85,2.45,highd_external,severity,Stopping-distance,1461,0.0,0.0499999999999998,0.0,L5–D1,0.0
1,5,rss_longitudinal,0.9926605816605384,1.7,2.5,2.85,2.45,highd_external,severity,RSS longitudinal,1461,0.0,0.0499999999999998,0.0,L5–D1,0.0
2,5,star,0.9988925802879288,1.1,1.75,2.0,1.75,highd_external,frequency,Upper bound,903,0.0,0.0,0.0,L5–D2,0.0
2,5,pi,0.8128460686600221,1.2,,,1.7,highd_external,frequency,Weak TTC,903,0.1860465116279068,,-0.05,L5–D2,18.60465116279068
2,5,pi_tuned,0.980066445182724,1.1,1.8,2.15,1.75,highd_external,frequency,Strong TTC,903,0.0188261351052048,0.05,0.0,L5–D2,1.88261351052048
2,5,pi_sd,0.997785160575858,1.1,1.8,2.0,1.75,highd_external,frequency,Stopping-distance,903,0.0011074197120708,0.05,0.0,L5–D2,0.11074197120708
2,5,rss_longitudinal,0.9988925802879288,1.1,1.8,2.0,1.8,highd_external,frequency,RSS longitudinal,903,0.0,0.05,0.05,L5–D2,0.0
2,5,star,0.9980829635353192,1.35,2.05,2.35,2.05,highd_external,severity,Upper bound,903,0.0,0.0,0.0,L5–D2,0.0
2,5,pi,0.7254636484002545,1.45,,,1.8,highd_external,severity,Weak TTC,903,0.2726193151350649,,-0.2499999999999997,L5–D2,27.26193151350649
2,5,pi_tuned,0.9608592354538183,1.35,2.25,2.75,2.05,highd_external,severity,Strong TTC,903,0.0372237280815009,0.2000000000000001,0.0,L5–D2,3.72237280815009
2,5,pi_sd,0.9958498413362308,1.35,2.05,2.4,2.05,highd_external,severity,Stopping-distance,903,0.0022331221990884,0.0,0.0,L5–D2,0.22331221990884
2,5,rss_longitudinal,0.9980829635353192,1.35,2.05,2.4,2.05,highd_external,severity,RSS longitudinal,903,0.0,0.0,0.0,L5–D2,0.0
1,6,star,1.0000000000000002,1.2,1.9,2.2,1.9,highd_external,frequency,Upper bound,357,0.0,0.0,0.0,L6–D1,0.0
1,6,pi,0.7114845938375352,1.45,,,1.95,highd_external,frequency,Weak TTC,357,0.288515406162465,,0.05,L6–D1,28.851540616246503
1,6,pi_tuned,0.997198879551821,1.2,2.0,2.25,1.95,highd_external,frequency,Strong TTC,357,0.0028011204481792,0.1,0.05,L6–D1,0.28011204481792
1,6,pi_sd,1.0000000000000002,1.2,1.9,2.2,1.9,highd_external,frequency,Stopping-distance,357,0.0,0.0,0.0,L6–D1,0.0
1,6,rss_longitudinal,1.0000000000000002,1.2,1.9,2.2,1.9,highd_external,frequency,RSS longitudinal,357,0.0,0.0,0.0,L6–D1,0.0
1,6,star,1.0,1.45,2.2,2.45,2.2,highd_external,severity,Upper bound,357,0.0,0.0,0.0,L6–D1,0.0
1,6,pi,0.615778986570529,1.85,,,2.0,highd_external,severity,Weak TTC,357,0.384221013429471,,-0.2000000000000001,L6–D1,38.4221013429471
1,6,pi_tuned,0.9940331310281306,1.45,2.3,2.85,2.3,highd_external,severity,Strong TTC,357,0.0059668689718693,0.0999999999999996,0.0999999999999996,L6–D1,0.5966868971869299
1,6,pi_sd,1.0,1.45,2.2,2.45,2.2,highd_external,severity,Stopping-distance,357,0.0,0.0,0.0,L6–D1,0.0
1,6,rss_longitudinal,1.0,1.45,2.2,2.45,2.2,highd_external,severity,RSS longitudinal,357,0.0,0.0,0.0,L6–D1,0.0
2,6,star,1.0000000000000002,1.1,1.7,2.0,1.7,highd_external,frequency,Upper bound,204,0.0,0.0,0.0,L6–D2,0.0
2,6,pi,0.862745098039216,1.15,,,1.8,highd_external,frequency,Weak TTC,204,0.1372549019607842,,0.1,L6–D2,13.725490196078418
2,6,pi_tuned,1.0000000000000002,1.1,1.7,2.1,1.7,highd_external,frequency,Strong TTC,204,0.0,0.0,0.0,L6–D2,0.0
2,6,pi_sd,1.0000000000000002,1.1,1.7,2.0,1.7,highd_external,frequency,Stopping-distance,204,0.0,0.0,0.0,L6–D2,0.0
2,6,rss_longitudinal,1.0000000000000002,1.1,1.7,2.0,1.7,highd_external,frequency,RSS longitudinal,204,0.0,0.0,0.0,L6–D2,0.0
2,6,star,1.0000000000000002,1.3,2.15,2.4,2.15,highd_external,severity,Upper bound,204,0.0,0.0,0.0,L6–D2,0.0
2,6,pi,0.7666289993106465,1.4,,,1.95,highd_external,severity,Weak TTC,204,0.2333710006893536,,-0.1999999999999999,L6–D2,23.33710006893536
2,6,pi_tuned,1.0000000000000002,1.3,2.15,2.65,2.15,highd_external,severity,Strong TTC,204,0.0,0.0,0.0,L6–D2,0.0
2,6,pi_sd,1.0000000000000002,1.3,2.15,2.4,2.15,highd_external,severity,Stopping-distance,204,0.0,0.0,0.0,L6–D2,0.0
2,6,rss_longitudinal,1.0000000000000002,1.3,2.15,2.4,2.15,highd_external,severity,RSS longitudinal,204,0.0,0.0,0.0,L6–D2,0.0
