delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
1.05,0.5630481872092611,0.256311920741451,0.5365931607542347,0.5559698400861712,0.558406129043713,0.5685416000852244,0.2529721955896453,0.26022158304037496,0.5319268373518933,0.5418016050566385,0.5511857415101263,0.5612635086348734,0.3067362664678101,0.026455026455026398,0.0070783471230898565,0.3067362664678101,0.026455026455026398,0.2802812400127837,0.29965791934472025,0.2802812400127837
1.1,0.6053880662381781,0.2818436845282483,0.5777020228921795,0.5978954345844727,0.601004344069221,0.6106447450966467,0.27838736787282653,0.28583472414568617,0.573150811405845,0.5829578139980824,0.5931678562551046,0.6031423481647196,0.3235443817099298,0.027686043345998557,0.007492631653705395,0.3235443817099298,0.027686043345998557,0.2958583383639312,0.3160517500562244,0.2958583383639312
1.15,0.6542973142525715,0.31102115218446325,0.625368417314726,0.6463548879656262,0.6498813370737309,0.6597081661399334,0.30746747866434676,0.31487074322644804,0.6209394197649232,0.6301649444266895,0.6419025129315957,0.6514127102493993,0.3432761620681083,0.028928896937845505,0.007942426286945303,0.3432761620681083,0.028928896937845505,0.3143472651302628,0.335333735781163,0.3143472651302628
1.2,0.6919735331368442,0.33529822567853895,0.6620740267272707,0.6841021270551472,0.6876413006166922,0.6967230093628304,0.3319197353313685,0.33911112294781204,0.6580095995644094,0.6664897079885895,0.6799080880177077,0.6883796148337537,0.3566753074583052,0.029899506409573506,0.007871406081697008,0.3566753074583052,0.029899506409573506,0.3267758010487317,0.3488039013766082,0.3267758010487317
1.25,0.7346921865937526,0.36206100635630845,0.7038812542168247,0.7259448646473255,0.7304073008770996,0.7390365517323011,0.35861623048423946,0.3658200466366015,0.6997017151379568,0.7081584460779091,0.721611744374608,0.7302241279310631,0.3726311802374441,0.03081093237692789,0.008747321946427022,0.3726311802374441,0.03081093237692789,0.34182024786051624,0.3638838582910171,0.34182024786051624
1.3,0.767385154409763,0.38349727164044844,0.7362072843057184,0.7573357953671153,0.7636610323970503,0.7716108566220423,0.3801439342826368,0.38724092420960443,0.7321934590390966,0.7404140477965981,0.7533894392954795,0.7615274670643798,0.3838878827693145,0.031177870104044603,0.010049359042647699,0.3838878827693145,0.031177870104044603,0.3527100126652699,0.3738385237266668,0.3527100126652699
1.35,0.802694033119089,0.40447190559047386,0.7703798397310702,0.7915793709977156,0.7992010226909556,0.8066856645715706,0.4010969662535659,0.4083330374158115,0.766484085555674,0.7743930731626482,0.7879327793757325,0.7953437377934022,0.3982221275286152,0.032314193388018886,0.011114662121373464,0.3982221275286152,0.032314193388018886,0.3659079341405963,0.3871074654072417,0.3659079341405963
1.4,0.8283915107181327,0.4207000224897317,0.7959234402187423,0.8162707290224069,0.8248461228886285,0.8321322041120698,0.4173961033580721,0.42456470532533175,0.7922747771741061,0.7997040824781317,0.812695749440716,0.8201072996934294,0.40769148822840096,0.03246807049939038,0.012120781695725724,0.40769148822840096,0.03246807049939038,0.3752234177290106,0.39557070653267523,0.3752234177290106
1.45,0.8554028621142715,0.4365848750636223,0.8217156114247837,0.8419918800231999,0.8521670040126416,0.8583898535800102,0.4332336091284638,0.4406806694838015,0.8185664571570612,0.8252905910064746,0.8388300013020371,0.8452135340837802,0.4188179870506492,0.03368725068948786,0.01341098209107161,0.4188179870506492,0.03368725068948786,0.38513073636116135,0.4054070049595776,0.38513073636116135
1.5,0.876022395038055,0.44832688233135665,0.8421812672371957,0.8616289667743806,0.8731661991169821,0.8790919474923949,0.4448587289750601,0.45253009481197404,0.8389610927642247,0.8453437377934022,0.8587739545233953,0.8648852431850196,0.42769551270669837,0.03384112780085935,0.014393428263674402,0.42769551270669837,0.03384112780085935,0.393854384905839,0.41330208444302396,0.393854384905839
1.55,0.896002746114603,0.45916930033261133,0.8625759028443593,0.8802599339512092,0.8932442029757466,0.898584330575382,0.4558668607885611,0.463371920978185,0.8597105334801085,0.8654886190121089,0.8774644011221192,0.8831128747795414,0.4368334457819916,0.0334268432702437,0.015742812163393793,0.4368334457819916,0.0334268432702437,0.4034066025117479,0.42109063361859783,0.4034066025117479
1.6,0.910715765301895,0.4665080548749453,0.8766615768852906,0.8936354059396565,0.9083362925085521,0.9130600239101357,0.4630721565285324,0.470710675520519,0.8741379922587977,0.8797758128854326,0.8911121172306855,0.8962054496170827,0.44420771042694973,0.03405418841660446,0.017080359362238506,0.44420771042694973,0.03405418841660446,0.4101535220103453,0.4271273510647112,0.4101535220103453
1.65,0.9254761312926861,0.4729590568516744,0.890830107832345,0.9070582247316028,0.9230957707467774,0.9275845436359977,0.4695465359894891,0.47695039238663406,0.8883071150408958,0.8936247529088692,0.9045106707858386,0.9093551365363446,0.45251707444101175,0.03464602346034118,0.01841790656108333,0.45251707444101175,0.03464602346034118,0.41787105098067057,0.4340991678799284,0.41787105098067057
1.7,0.9369222210385522,0.4770190452517075,0.9014002817134809,0.9173561544926199,0.9348265331486808,0.9391010617520684,0.47370358533669504,0.4810219215700201,0.8990199211675721,0.9038777032065622,0.9149405797616089,0.9194518423824912,0.45990317578684464,0.035521939325071306,0.019566066545932292,0.45990317578684464,0.035521939325071306,0.42438123646177334,0.44033710924091235,0.42438123646177334
1.75,0.9478593326468047,0.48124474746398693,0.9116271912692494,0.9271095960133992,0.9459767053726785,0.9497304191375779,0.47799794041404786,0.48547074559378817,0.9094368097723803,0.9140185007634671,0.9247896026419516,0.9290750801936485,0.46661458518281773,0.03623214137755526,0.020749736633405513,0.46661458518281773,0.03623214137755526,0.43038244380526247,0.4458648485494122,0.43038244380526247
1.8,0.9556597185232532,0.4840026987677995,0.9190843128203308,0.9341642697347395,0.9539306724429767,0.9572458364404673,0.48068694293526515,0.48822869689760073,0.917070298166495,0.9212400719671413,0.9319954902169667,0.9360113869062415,0.47165701975545365,0.03657540570292239,0.021495448788513616,0.47165701975545365,0.03657540570292239,0.43508161405253126,0.45016157096694004,0.43508161405253126
1.85,0.9625841885349715,0.4870092207899815,0.9262455168495437,0.9404140477965981,0.9609033770107596,0.9640522353609602,0.4836694956381758,0.4911423008179161,0.9241252678053573,0.9282695926991229,0.9383778393286224,0.9421673591136678,0.47557496774499003,0.036338671685427815,0.022170140738373423,0.47557496774499003,0.036338671685427815,0.4392362960595622,0.4534048270066166,0.4392362960595622
1.9,0.9679343773303505,0.48905697004131016,0.9311340743108081,0.9448646473254975,0.9663598001964893,0.9692843530651137,0.48573884686860086,0.49314270326574583,0.9291511309967686,0.9333004864884059,0.942863357125102,0.946546346602275,0.4788774072890403,0.0368003030195424,0.023069730004853017,0.4788774072890403,0.0368003030195424,0.4420771042694979,0.4558076772841873,0.4420771042694979
