delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
2.05,0.9347751811369568,0.456306190047812,0.8865761489003144,0.8952490604760804,0.8921845104727912,0.9312976642126083,0.9380148997679523,0.4531053045305084,0.45970019565930426,0.8831047904198706,0.8901842984893575,0.8918593138699317,0.8985463374751645,0.8886428270516992,0.8953916651039732,0.4784689910891448,0.04819903223664235,0.03952612066087635,0.04259067066416555,0.4784689910891448,0.04819903223664235,0.43026995885250247,0.43894287042826846,0.43587832042497926,0.43026995885250247
2.1,0.9395779480004813,0.45731119948893817,0.8907815009917179,0.8986268686403296,0.8959437520091317,0.9360817197838233,0.942892832214265,0.45420135896026453,0.46076101175297446,0.8873411558988709,0.8944389668197966,0.8952422196150801,0.9018489418037825,0.8924660718471853,0.899026143544388,0.48226674851154316,0.0487964470087634,0.04095107936015174,0.043634195991349656,0.48226674851154316,0.0487964470087634,0.43347030150277976,0.4413156691513914,0.4386325525201935,0.43347030150277976
2.15,0.9453360131727356,0.4584305321635707,0.8947880322381432,0.9025387438210494,0.9004468042045002,0.9420225406170389,0.948616015186255,0.455242960307074,0.46191362978340755,0.891246154699478,0.8983861211917504,0.8990846660741355,0.905752986811284,0.8967558395698415,0.9033909242616617,0.4869054810091649,0.05054798093459245,0.04279726935168626,0.04488920896823545,0.4869054810091649,0.05054798093459245,0.43635750007457247,0.44410821165747866,0.44201627204092947,0.43635750007457247
2.2,0.9490026712228983,0.4593734568108688,0.8977807288281761,0.9050297641529982,0.9031711731488847,0.9456132120189129,0.9522933809528998,0.4561835665929735,0.46287222231255115,0.8942845622934752,0.9015958208275034,0.9016023472756056,0.9082681166784216,0.8995319709500444,0.9061254224729481,0.4896292144120295,0.05122194239472222,0.04397290706990009,0.045831498074013544,0.4896292144120295,0.05122194239472222,0.4384072720173073,0.4456563073421294,0.44379771633801596,0.4384072720173073
2.25,0.9531900841065802,0.46028102512198127,0.9005194629951284,0.9074099222855455,0.9063278617369589,0.9498987493705887,0.956314242290077,0.4570164321099404,0.4637309634548676,0.8970138079134783,0.9042064581876432,0.90411725879959,0.9105131548848396,0.9027343046212927,0.9092209057508082,0.49290905898459897,0.05267062111145182,0.045780161821034726,0.04686222236962134,0.49290905898459897,0.05267062111145182,0.44023843787314715,0.44712889716356424,0.4460468366149776,0.44023843787314715
2.3,0.9558752243275929,0.461045885366982,0.9020103925800765,0.9088296338611008,0.9083491419018178,0.9526989320781662,0.9589312359329836,0.4577695144571125,0.4645218089489023,0.8985344655675117,0.9057126260016327,0.905552986870231,0.9117998047693603,0.9047404929999434,0.9112326606866262,0.4948293389606109,0.05386483174751633,0.04704559046649204,0.04752608242577505,0.4948293389606109,0.05386483174751633,0.44096450721309455,0.44778374849411884,0.4473032565348358,0.44096450721309455
2.35,0.9589303365746796,0.46198909723181986,0.9038083713629063,0.9105194300590139,0.9106918667455077,0.9559091408337757,0.961984664291621,0.4586786783544262,0.46540195604374623,0.9002854414813759,0.9074028723568437,0.9072645309459814,0.9135350741635043,0.9072902785108888,0.9135954885684996,0.4969412393428598,0.05512196521177337,0.04841090651566571,0.048238469829171904,0.4969412393428598,0.05512196521177337,0.4418192741310864,0.44853033282719407,0.44870276951368787,0.4418192741310864
2.4,0.9610898631392519,0.4629162440483551,0.9050342224219533,0.911731717343681,0.9123148894984713,0.9581374356904948,0.9640546210806984,0.459643615245345,0.4663370343350201,0.9013759309868846,0.9084888870157262,0.9085812195474119,0.9146966860664084,0.9090037561152261,0.9152673063162013,0.49817361909089686,0.05605564071729863,0.04935814579557096,0.04877497364078065,0.49817361909089686,0.05605564071729863,0.44211797837359823,0.4488154732953259,0.4493986454501162,0.44211797837359823
2.45,0.9632304659185843,0.4641352277945385,0.9062797975357347,0.9128589014526868,0.9139445521061901,0.9602019078483589,0.9662255028285716,0.46085577986537163,0.467520142543341,0.902688610150398,0.909741768918802,0.909629577816902,0.9158364245061754,0.9105243410852483,0.9168779105634305,0.4990952381240458,0.05695066838284957,0.05037156446589752,0.04928591381239422,0.4990952381240458,0.05695066838284957,0.44214456974119626,0.4487236736581483,0.4498093243116516,0.44214456974119626
2.5,0.9646449760286137,0.4655153430166826,0.9069657873748987,0.9134810383674273,0.9149595821857246,0.961606144652769,0.967541437410045,0.46220853983148213,0.4688700675196603,0.9033559224099942,0.9103220324169111,0.9101598477152163,0.916425413651325,0.9117111320516783,0.9179363192362904,0.49912963301193103,0.05767918865371491,0.05116393766118632,0.04968539384288906,0.49912963301193103,0.05767918865371491,0.4414504443582161,0.4479656953507447,0.44944423916904197,0.4414504443582161
2.55,0.9661981762155427,0.4662496921023866,0.9077538581639573,0.9140814343628442,0.9160722399065896,0.9632313178711038,0.9689211280518141,0.4629262900651325,0.46961198973853807,0.9044063237179966,0.9110174529955343,0.9108101066698879,0.9169737706031132,0.9128713913344052,0.9189943098837261,0.4999484841131561,0.05844431805158545,0.052116741852698545,0.05012593630895312,0.4999484841131561,0.05844431805158545,0.44150416606157067,0.4478317422604576,0.449822547804203,0.44150416606157067
2.6,0.9673285851072977,0.466296622870263,0.9082228825984711,0.9145430664689045,0.9167821365166413,0.9643278705623216,0.9699965774398301,0.46298148556151947,0.4696580801572053,0.9049209450766793,0.9115901083871778,0.9113585476549114,0.9173980106503573,0.9135662972456655,0.9196687458882645,0.5010319622370347,0.05910570250882663,0.0527855186383932,0.05054644859065638,0.5010319622370347,0.05910570250882663,0.44192625972820804,0.44824644359864146,0.4504855136463783,0.44192625972820804
2.65,0.9682342514233003,0.46632723368084195,0.9086245415226916,0.9149298624899895,0.9174094794873522,0.9652247606576444,0.9709161593549239,0.46301625599220003,0.46970810348596037,0.9053829102852714,0.91204977285075,0.9116479754147326,0.9178638161047679,0.9140880516891069,0.9201871717769887,0.5019070177424584,0.059609709900608765,0.0533043889333108,0.05082477193594814,0.5019070177424584,0.059609709900608765,0.4422973078418496,0.4486026288091476,0.45108224580651024,0.4422973078418496
2.7,0.9689188545263314,0.4663381661131915,0.909016916463187,0.9152563304779272,0.9179362158272696,0.965934551719746,0.9714893012931815,0.46303358660215316,0.4697255100798559,0.9057245433672585,0.912410128501948,0.9119561797092752,0.9180989534397818,0.9146017368770039,0.9207344993720129,0.5025806884131399,0.05990193806314437,0.053662524048404214,0.05098263869906183,0.5025806884131399,0.05990193806314437,0.44267875034999554,0.4489181643647357,0.4515980497140781,0.44267875034999554
2.75,0.9697651532730741,0.466346912059071,0.9094363892741053,0.9155567146524712,0.9185358393082335,0.9667642043691348,0.9723751934388231,0.46303576657974405,0.4697364373346619,0.9060837670467896,0.9127319502678046,0.9123868157742688,0.9184773544474746,0.9153226956672225,0.9213740103041151,0.5034182412140031,0.060328763998968804,0.05420843862060287,0.05122931396484065,0.5034182412140031,0.060328763998968804,0.44308947721503433,0.44920980259340026,0.4521889272491625,0.44308947721503433
2.8,0.9701729834611953,0.46635347151848083,0.9096386785600956,0.9157949451742865,0.9189013087286239,0.9672406446044032,0.9727981826814212,0.4630488464452899,0.46974077523067265,0.9062869586991343,0.9129161892721753,0.9125583746614658,0.9186777010581489,0.9155455357167956,0.9216751916867921,0.5038195119427145,0.06053430490109968,0.05437803828690879,0.05127167473257144,0.5038195119427145,0.06053430490109968,0.4432852070416148,0.44944147365580567,0.452547837210143,0.4432852070416148
