dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,2.3,0.9889208479812508,0.5008818342151676,0.950013612206006,0.95977889042766,0.9880564728998734,0.9898094882994212,0.4973527218493662,0.5048486085958122,0.9482839742906856,0.9518367600582364,0.9582383438088136,0.9612972432323664,0.488039013766083,0.0389072357752448,0.0291419575535906,0.488039013766083,0.0389072357752448,0.4491317779908382,0.4588970562124924,0.4491317779908382
us101,2.35,0.9899032941538536,0.5023614218245092,0.9509132014724856,0.960311541967023,0.989003408969852,0.990756128451878,0.4988086360569582,0.5062340944331997,0.9492433388965827,0.9527481860255907,0.9586899139471846,0.961945006687736,0.4875418723293443,0.0389900926813678,0.0295917521868305,0.4875418723293443,0.0389900926813678,0.4485517796479764,0.4579501201425138,0.4485517796479764
us101,2.4,0.99072002651421,0.5039238663399738,0.9514340163109738,0.9607021530958892,0.9898319780310832,0.9915133813903388,0.5003832131908196,0.5077370595267688,0.9497762863534676,0.95325805191577,0.9591036066427564,0.962288862848147,0.4867961601742362,0.0392860102032361,0.0300178734183208,0.4867961601742362,0.0392860102032361,0.447510149971,0.4567782867559153,0.447510149971
us101,2.45,0.9914775753701928,0.5057467182746825,0.9519785045512116,0.9611282743273796,0.9906599552572708,0.9921883692577204,0.5022643608773364,0.509655492821041,0.95035480510872,0.9538256217227136,0.9595534012759964,0.9626336067611236,0.4857308570955102,0.0394990708189813,0.0303493010428133,0.4857308570955102,0.0394990708189813,0.4462317862765289,0.4553815560526969,0.4462317862765289
us101,2.5,0.991951043405182,0.5081022217487542,0.9522625853722052,0.9613058248405004,0.9911576885290532,0.9926618372927096,0.504539078867938,0.5121169347679415,0.950638590012192,0.9540747842761266,0.959695737604015,0.9628567285726122,0.4838488216564279,0.039688458032977,0.0306452185646817,0.4838488216564279,0.039688458032977,0.4441603636234509,0.4532036030917462,0.4441603636234509
us101,2.55,0.9925073683462944,0.5095344625545968,0.9525940129966975,0.961459701951872,0.9917024726868128,0.99318294804872,0.5059594829729059,0.5135479919036966,0.9508992933489578,0.9543357835304144,0.959873288117136,0.962976279251447,0.4829729057916977,0.0399133553495969,0.0310476663944224,0.4829729057916977,0.0399133553495969,0.4430595504421007,0.4519252393972752,0.4430595504421007
us101,2.6,0.9929098161760356,0.50961731946072,0.9527715635098184,0.9616135790632436,0.9921164612999064,0.993584804043417,0.5060426357965508,0.5136305528922979,0.9510667826663352,0.9545020891777044,0.9600390019293824,0.9631192074145094,0.4832924967153155,0.0401382526662169,0.0312962371127919,0.4832924967153155,0.0401382526662169,0.4431542440490985,0.4519962596025235,0.4431542440490985
us101,2.65,0.9932294070996532,0.5096765029650936,0.9529727874246888,0.961720109371116,0.9924478889243992,0.9938810174828072,0.5061707680835198,0.5136778996957968,0.9513372512813228,0.9547385272776772,0.9601573689381296,0.9632491152066096,0.4835529041345595,0.0402566196749641,0.031509297728537,0.4835529041345595,0.0402566196749641,0.4432962844595953,0.4520436064060225,0.4432962844595953
us101,2.7,0.9934069576127742,0.5096765029650936,0.9531740113395596,0.961814802978114,0.9926488169217476,0.994034302759135,0.5061707680835198,0.5136778996957968,0.9515399547838026,0.95499715919179,0.960275440029355,0.9633553495969605,0.4837304546476806,0.0402329462732147,0.0315921546346602,0.4837304546476806,0.0402329462732147,0.4434975083744659,0.4521383000130203,0.4434975083744659
us101,2.75,0.9935845081258952,0.5096883396659684,0.9533633985535552,0.9618858231833624,0.9928266633523904,0.9941887717055502,0.5061826047843946,0.5136894404791497,0.9517402909461076,0.9551519240557272,0.9603349194512506,0.963414237183812,0.4838961684599268,0.04022110957234,0.0316986849425328,0.4838961684599268,0.04022110957234,0.4436750588875867,0.4521974835173939,0.4436750588875867
us101,2.8,0.9937028751346424,0.5096883396659684,0.9534936022631773,0.9619213332859864,0.9929565711444904,0.9943311080335688,0.5061826047843946,0.5136894404791497,0.9518835150266918,0.9552818318478272,0.960381378502184,0.9634606962347456,0.4840145354686741,0.0402092728714652,0.031781541848656,0.4840145354686741,0.0402092728714652,0.4438052625972088,0.4522329936200181,0.4438052625972088
us101,2.85,0.993856752246014,0.5097120130677179,0.9535527857675508,0.9619686800894854,0.993074642235716,0.9944604239906252,0.5061843802895258,0.5136900323141934,0.9519308618301908,0.9553288827338045,0.9604177763573738,0.9635083389557664,0.4841447391782961,0.0403039664784631,0.0318880721565285,0.4841447391782961,0.0403039664784631,0.443840772699833,0.4522566670217676,0.443840772699833
