dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,2.3,0.9575646630454668,0.4559192499952752,0.9033241952639236,0.9164739450073428,0.9533579519928356,0.9618021412027408,0.4512913173076069,0.4609943879383982,0.8984604051245589,0.9082184493111454,0.9116539165459344,0.9210538494706372,0.5016454130501915,0.0542404677815432,0.041090718038124,0.5016454130501915,0.0542404677815432,0.4474049452686482,0.4605546950120674,0.4474049452686482
us101,2.35,0.9603013111108856,0.4567414857160773,0.9053717824473282,0.9180395895723696,0.9559460179082304,0.9644704165415504,0.4521552432513694,0.4617200893389871,0.9007477136605372,0.910187189305216,0.9130492452872891,0.9227280451305068,0.5035598253948081,0.0549295286635572,0.0422617215385159,0.5035598253948081,0.0549295286635572,0.4486302967312509,0.4612981038562922,0.4486302967312509
us101,2.4,0.9626745844325694,0.4576388720864742,0.906567733976126,0.919244958677782,0.9583222424779888,0.9666618980426817,0.452973437770131,0.4625888849253609,0.902044036799152,0.9113178499919692,0.9144365829205364,0.9236619197356556,0.5050357123460951,0.0561068504564434,0.0434296257547874,0.5050357123460951,0.0561068504564434,0.4489288618896516,0.4616060865913076,0.4489288618896516
us101,2.45,0.9648882928147094,0.4585723665606118,0.9077617556650116,0.9204674815705778,0.96051579427227,0.9687561684812354,0.4538251642976729,0.4634168821938839,0.903003872328234,0.9124680973997602,0.9155365083749174,0.9247758724686604,0.5063159262540976,0.0571265371496978,0.0444208112441316,0.5063159262540976,0.0571265371496978,0.4491893891043997,0.4618951150099659,0.4491893891043997
us101,2.5,0.9663550527126532,0.4597932852399663,0.9084220800170762,0.9211216038197546,0.9621428932809936,0.9699246951599774,0.4551076517610636,0.4648033048292811,0.9037120426363826,0.9130187381579594,0.9162393629224832,0.9253944258072908,0.5065617674726868,0.0579329726955768,0.0452334488928984,0.5065617674726868,0.0579329726955768,0.4486287947771099,0.4613283185797883,0.4486287947771099
us101,2.55,0.9682500397154246,0.4605115532329785,0.9092882867592714,0.9216982286988228,0.9640429874067828,0.9718578342335548,0.4558488689387376,0.4654484037486098,0.9045578124242002,0.9139332689261476,0.9168720195697844,0.9259889844713934,0.5077384864824461,0.0589617529561531,0.0465518110166018,0.5077384864824461,0.0589617529561531,0.4487767335262929,0.4611866754658442,0.4487767335262929
us101,2.6,0.9695524389074563,0.4605504690135984,0.909648372240246,0.922282531087952,0.9655985401182872,0.9732034402578612,0.4558883429278593,0.4654891940907916,0.9048897106416024,0.9143012373199584,0.9175837170343736,0.9265897524258628,0.5090019698938579,0.0599040666672104,0.0472699078195042,0.5090019698938579,0.0599040666672104,0.4490979032266474,0.4617320620743537,0.4490979032266474
us101,2.65,0.9707045035728674,0.4605765379628733,0.9101063147803696,0.9227220878787916,0.966650686006416,0.9743222567054164,0.4559326229947584,0.4655407314586614,0.9054609358634564,0.9147970860265254,0.918202233716964,0.9270418223671928,0.5101279656099941,0.0605981887924977,0.0479824156940756,0.5101279656099941,0.0605981887924977,0.4495297768174963,0.4621455499159184,0.4495297768174963
us101,2.7,0.9713447361403345,0.4605765379628733,0.9104320197773472,0.9230933198967698,0.9672481651715938,0.974868479979294,0.4559326229947584,0.4655407314586614,0.9057007744079908,0.9151219946765828,0.9185477199133626,0.927338725505258,0.510768198177461,0.0609127163629871,0.0482514162435645,0.510768198177461,0.0609127163629871,0.4498554818144739,0.4625167819338964,0.4498554818144739
us101,2.75,0.9719640594893684,0.4605817517527283,0.9108208487903722,0.9233567671236907,0.9679625627779248,0.975357373275914,0.4559379684060202,0.4655560752707921,0.9060555077295862,0.9154775692909386,0.9187201397386552,0.9275180536451094,0.51138230773664,0.0611432106989962,0.0486072923656775,0.51138230773664,0.0611432106989962,0.4502390970376438,0.4627750153709625,0.4502390970376438
us101,2.8,0.9724030277371002,0.4605817517527283,0.9110456795995534,0.9235069895073236,0.968374528930944,0.9758416186771718,0.4559379684060202,0.4655560752707921,0.906268667988,0.9156610643127192,0.9188577991407366,0.9275982838783122,0.5118212759843719,0.0613573481375467,0.0488960382297767,0.5118212759843719,0.0613573481375467,0.450463927846825,0.4629252377545951,0.450463927846825
us101,2.85,0.9729076070832886,0.4605921793324383,0.9111215970886782,0.923646526262748,0.9688771155601152,0.9763044403238256,0.4559404377834531,0.4655563361557484,0.9063757716027632,0.9158046140244348,0.9189975107778008,0.9278143374245552,0.5123154277508504,0.0617860099946103,0.0492610808205405,0.5123154277508504,0.0617860099946103,0.4505294177562399,0.4630543469303097,0.4505294177562399
