delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
1.3,0.6589105239198609,0.3216718663762943,0.6261224766670769,0.6502854827005159,0.6528416700873348,0.6650245555108237,0.31788789280140406,0.3256466099272549,0.6205510211762677,0.6321902000193128,0.6440785839356574,0.6566128430669366,0.33723865754356663,0.03278804725278406,0.008625041219345042,0.33723865754356663,0.03278804725278406,0.3044506102907826,0.3286136163242216,0.3044506102907826
1.35,0.6979100847737677,0.34654882735293535,0.6645378455263543,0.6876582159787239,0.6920579453908945,0.7038663314600648,0.3427679377161075,0.3504919726253466,0.6591855106852395,0.6704027358125276,0.6818081891183703,0.693595152872475,0.35136125742083235,0.03337223924741339,0.010251868795043806,0.35136125742083235,0.03337223924741339,0.31798901817341896,0.34110938862578855,0.31798901817341896
1.4,0.7286172643018098,0.36559689810190743,0.694339016066005,0.7163180222068788,0.7229490084266008,0.7343779824458911,0.36163041491621817,0.369776698498093,0.6890578498993287,0.7000218187823516,0.7109093586161975,0.722289026780809,0.3630203661999024,0.03427824823580483,0.012299242094931051,0.3630203661999024,0.03427824823580483,0.3287421179640976,0.35072112410497136,0.3287421179640976
1.45,0.7601992892611379,0.38362644505541704,0.7247065773086807,0.745374215856962,0.7547957847184038,0.7663422184351203,0.3795445213802442,0.38782562119360603,0.7197749527548217,0.7305936972577947,0.7399891474162411,0.751481454880843,0.37657284420572085,0.03549271195245718,0.014825073404175937,0.37657284420572085,0.03549271195245718,0.34108013225326367,0.3617477708015449,0.34108013225326367
1.5,0.7856716871663358,0.39806267057461087,0.7495547510899584,0.7686791346793143,0.7803931212841687,0.791412881662198,0.3941028563280614,0.4020951718323788,0.744484899113589,0.7549955786402832,0.7631058098115517,0.7741929885843268,0.387609016591725,0.03611693607637745,0.016992552487021584,0.387609016591725,0.03611693607637745,0.3514920805153475,0.3706164641047034,0.3514920805153475
1.55,0.8126027967575391,0.4109358867162323,0.7756137062533925,0.792448528117715,0.8066880937625945,0.818142712901583,0.4071370998976575,0.41515986098710755,0.7703412493017393,0.7809262200040186,0.7868197149438316,0.7977296039933285,0.4016669100413068,0.03698909050414656,0.020154268639824058,0.4016669100413068,0.03698909050414656,0.3646778195371602,0.3815126414014827,0.3646778195371602
1.6,0.8321021703201568,0.4205193437629736,0.7943837777191263,0.8095287450802294,0.8267693310509817,0.8376722980795993,0.41676972518717403,0.424889026581652,0.7890689612935934,0.7997327436993159,0.804194810701864,0.8150126566361167,0.41158282655718315,0.03771839260103049,0.022573425239927336,0.41158282655718315,0.03771839260103049,0.37386443395615265,0.3890094013172558,0.37386443395615265
1.65,0.8526423655534501,0.42993955759303865,0.8133756049063008,0.8270387320984736,0.8473273015988019,0.8578906308251059,0.4259038658106382,0.4340665551801451,0.8082747414459058,0.8186584686316589,0.8216897323552024,0.8323158712300894,0.42270280796041143,0.03926676064714929,0.025603633454976515,0.42270280796041143,0.03926676064714929,0.38343604731326214,0.3970991745054349,0.38343604731326214
1.7,0.8671246554219392,0.43592339945100045,0.8277793597162515,0.839275267781718,0.8618706196798112,0.8720206956770103,0.43173618709433487,0.4401776942888615,0.8227537518591751,0.8329508256778193,0.8337991946963667,0.8439895410359762,0.4312012559709387,0.03934529570568768,0.027849387640221157,0.4312012559709387,0.03934529570568768,0.39185596026525105,0.40335186833071757,0.39185596026525105
1.75,0.8818442115864709,0.4417564558511627,0.8411754104895857,0.8511734830986922,0.8768122884203368,0.8867668009446028,0.4376967870833641,0.44599189274033296,0.8363165588019753,0.846126477333931,0.8458058453442067,0.855974963082322,0.4400877557353082,0.0406688010968852,0.03067072848777863,0.4400877557353082,0.0406688010968852,0.399418954638423,0.40941702724752954,0.399418954638423
1.8,0.8941257893480425,0.44612312352340866,0.8516032611018725,0.8609670389426635,0.8888243126658996,0.8988396427566216,0.4418776212412568,0.4504577905826168,0.8467334732351812,0.8564508166295295,0.8558535427534252,0.8655581954334443,0.4480026658246339,0.04252252824617009,0.03315875040537908,0.4480026658246339,0.04252252824617009,0.4054801375784638,0.4148439154192548,0.4054801375784638
1.85,0.9056772663301841,0.4500880980197696,0.8618294138556483,0.8696898357122003,0.9008922217399591,0.9102735436798057,0.44598903256979244,0.4544757726402791,0.8569223565375013,0.8666344653144122,0.8647128704490726,0.8741099837897054,0.45558916831041446,0.04384785247453582,0.03598743061798382,0.45558916831041446,0.04384785247453582,0.41174131583587864,0.41960173769243064,0.41174131583587864
1.9,0.9144945980529712,0.45268948398614106,0.8693467155077582,0.875896521166919,0.909530697847634,0.9189491808615764,0.4485571672226081,0.45703065802587195,0.8647735283254129,0.8741415272613352,0.8712150184388278,0.8802598828469478,0.4618051140668301,0.04514788254521296,0.03859807688605221,0.4618051140668301,0.04514788254521296,0.41665723152161716,0.4232070371807779,0.41665723152161716
