delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
1.0,0.6348594842560012,0.25282441841476255,0.5884217402277347,0.6272881129470447,0.6308425748600779,0.6387284921094433,0.2503631660208731,0.25561673273059266,0.5846130435428077,0.5924093291171185,0.6233582372066092,0.6311658427233182,0.3820350658412387,0.0464377440282665,0.007571371308956576,0.3820350658412387,0.0464377440282665,0.3355973218129722,0.3744636945322821,0.3355973218129722
1.05,0.682722427589483,0.28109087130153343,0.635178669517065,0.6748318710194626,0.6790402915720243,0.6865676821211715,0.27826997877046855,0.28400918956635324,0.6315932169420565,0.6388830742736678,0.6710289270921478,0.6785101100075712,0.40163155628794955,0.04754375807241795,0.007890556570020357,0.40163155628794955,0.04754375807241795,0.3540877982155316,0.3937409997179292,0.3540877982155316
1.1,0.7217372585697529,0.30476996392464245,0.6734140946272953,0.7141287726955564,0.7178918184652382,0.7253893317893672,0.30219235736872563,0.3078256060808502,0.6698431167327303,0.6770669101382144,0.7104074808117695,0.7175000742291302,0.41696729464511045,0.048323163942457614,0.007608485874196491,0.41696729464511045,0.048323163942457614,0.36864413070265284,0.40935880877091396,0.36864413070265284
1.15,0.762459359551062,0.3310990365058862,0.7136388604343886,0.7549696402856335,0.7587614498433763,0.7660232856782313,0.32863110349025354,0.33432893154589566,0.710289085348654,0.7171435888300002,0.7516278448314254,0.7585181638682282,0.43136032304517585,0.04882049911667341,0.007489719265428518,0.43136032304517585,0.04882049911667341,0.38253982392850244,0.42387060377974733,0.38253982392850244
1.2,0.7939102421354234,0.3516159681705487,0.7444068350183344,0.7864502145221869,0.7907926186552648,0.7974366825517004,0.34897266883415706,0.35468218797784984,0.7412816030523016,0.7477558678127643,0.7833544886355198,0.7898215160557607,0.4422942739648747,0.049503407117089004,0.007460027613236497,0.4422942739648747,0.049503407117089004,0.3927908668477857,0.4348342463516382,0.3927908668477857
1.25,0.8260514556332484,0.3733873721403226,0.7766742380379754,0.818391009367716,0.8231992012945558,0.8293694977657029,0.3706331002538635,0.37666124794014144,0.7737330943155329,0.7799408764975725,0.815338893095206,0.8215095607120055,0.45266408349292586,0.049377217595273026,0.007660446265532417,0.45266408349292586,0.049377217595273026,0.40328686589765284,0.44500363722739344,0.40328686589765284
1.3,0.8501685001261893,0.389740049585059,0.8004201368785163,0.8413723481643134,0.8475185201680545,0.8530704879823036,0.3871385041345624,0.3929740272272449,0.7977549399486332,0.803407859380335,0.8386553764159204,0.8444094330379012,0.4604284505411303,0.049748363247672955,0.008796151961875887,0.4604284505411303,0.049748363247672955,0.41068008729345734,0.4516322985792544,0.41068008729345734
1.35,0.8748274172716338,0.406835018334595,0.8252200893718729,0.8645318368740627,0.8724509716593177,0.8775610905743847,0.4040716533796521,0.4102367538116657,0.8228150655443219,0.8280561988746862,0.8622528169955015,0.8672567882539821,0.4679923989370388,0.04960732789976097,0.010295580397571169,0.4679923989370388,0.04960732789976097,0.41838507103727784,0.45769681853946764,0.41838507103727784
1.4,0.8929615938478894,0.4190085957333094,0.8432132306002165,0.8809587434492789,0.8908054231802726,0.8954039178135065,0.41617693997832494,0.422453012960406,0.8408132172389731,0.8459090470464227,0.878729085942487,0.8834016241333746,0.47395299811458,0.049748363247672955,0.012002850398610487,0.47395299811458,0.049748363247672955,0.42420463486690707,0.46195014771596954,0.42420463486690707
1.45,0.9105464748585932,0.4304918422185601,0.8604863492629045,0.8965394379370237,0.9085866402410959,0.9128854347600169,0.42778025208212694,0.433680354518327,0.8582052880832551,0.8633083552309266,0.89434893629656,0.8988570569634345,0.4800546326400331,0.05006012559568873,0.01400703692156946,0.4800546326400331,0.05006012559568873,0.4299945070443444,0.46604759571846366,0.4299945070443444
1.5,0.9238928725188911,0.4388648881367002,0.8740108968363542,0.9083641384224823,0.9220737021036532,0.9260163823690968,0.4360202422838817,0.44206379251473427,0.8718471176828632,0.8764912632313423,0.9064460576908799,0.9104742870292014,0.48502798438219086,0.04988197568253683,0.015528734096408758,0.48502798438219086,0.04988197568253683,0.43514600869965403,0.4694992502857821,0.43514600869965403
1.55,0.9367790495702131,0.44646595109784865,0.8871271841921641,0.9192535518638932,0.9350047877789157,0.9387386986148841,0.4437844237592599,0.44976191006398536,0.8848969699668936,0.8894141837022518,0.9172525200789796,0.9212822339999106,0.49031309847236443,0.049651865378049,0.017525497706319837,0.49031309847236443,0.049651865378049,0.44066123309431543,0.4727876007660446,0.44066123309431543
1.6,0.9458350034887688,0.4519217921881261,0.8962647901542479,0.9268768835641856,0.9443112650128413,0.9476556584866161,0.4491899746136372,0.4553289092771565,0.8941930551225521,0.8985065098947428,0.925163675232708,0.9288229857925442,0.4939132113006427,0.04957021333452094,0.018958119924583183,0.4939132113006427,0.04957021333452094,0.44434299796612176,0.4749550913760595,0.44434299796612176
1.65,0.9546163096245488,0.4573776332784036,0.9050535192030758,0.9339880342641664,0.9530498893985953,0.9562283807657475,0.45456434923321287,0.46060010540536506,0.9029379889843968,0.9071987410739468,0.9323601894327408,0.9358363396131175,0.4972386763461452,0.049562790421473046,0.020628275360382364,0.4972386763461452,0.049562790421473046,0.44767588592467217,0.47661040098576285,0.44767588592467217
1.7,0.960665983758666,0.46082928784572197,0.9115114535548328,0.9388648881367001,0.9591884529164623,0.9620626048486465,0.4579850131385559,0.4640515743998573,0.9093946243263704,0.9135544247984677,0.9372674772487712,0.9405367137279351,0.499836695912944,0.0491545302038332,0.02180109562196586,0.499836695912944,0.0491545302038332,0.4506821657091108,0.47803560029097814,0.4506821657091108
1.75,0.9665894683709673,0.46458528184800824,0.917390400688846,0.9433631734437861,0.9652216110690477,0.9679185409522111,0.46167420092341016,0.4678459819771669,0.9154739901126796,0.9192908520019594,0.94184815689069,0.9448703959381818,0.502004186522959,0.049199067682121234,0.0232262949271812,0.502004186522959,0.049199067682121234,0.4528051188408378,0.4787778915957778,0.4528051188408378
1.8,0.9711471369824372,0.467309490936623,0.921792188126308,0.9467925592719604,0.9698627874523075,0.972365793732092,0.46432380973589255,0.4705701910657817,0.9199952864502142,0.9236557104470076,0.9452318918036192,0.9483667735566144,0.5038376460458142,0.04935494885612912,0.024354577710476777,0.5038376460458142,0.04935494885612912,0.45448269718968504,0.4794830683353374,0.45448269718968504
1.85,0.9754227348980832,0.4702266957644856,0.926023248563666,0.949746878665063,0.9743083700767527,0.9765153876987482,0.4672627265844206,0.4735785121513084,0.9242838744636943,0.9277978815006159,0.9481953042652056,0.9512095636811708,0.5051960391335976,0.04939948633441715,0.025675856233020156,0.5051960391335976,0.04939948633441715,0.4557965527991804,0.4795201829005774,0.4557965527991804
1.9,0.9785403583782417,0.4724238780266926,0.9289478763045768,0.9517510651880221,0.9774265502753898,0.979558039757122,0.46936470998678703,0.47584843896138584,0.927150974628483,0.9306924464436821,0.9502733487729922,0.9531990899508601,0.5061164803515491,0.049592482073664956,0.02678929319021961,0.5061164803515491,0.049592482073664956,0.45652399827788415,0.4793271871613295,0.45652399827788415
