dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
i80,frequency,pi_sd,Stopping-distance,delta_abs_q95_s,1.9,1.85,1.9,400
i80,frequency,pi_sd,Stopping-distance,delta_rel_q90_s,1.4,1.35,1.4,400
i80,frequency,pi_sd,Stopping-distance,sat_gap_vs_star,0.033440223281224535,0.03229690909900686,0.03445864695140963,400
i80,frequency,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.050000000000000044,0.050000000000000044,0.050000000000000044,400
i80,frequency,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.09999999999999987,-0.04999999999999982,400
i80,frequency,rss_longitudinal,RSS longitudinal,saturation,0.9540447453198548,0.9528114283169284,0.9553068261108387,400
i80,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,0.9,0.9,0.9,400
i80,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,1.55,1.55,1.55,400
i80,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,2.25,2.15,2.35,400
i80,frequency,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.4,1.4,1.4,400
i80,frequency,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.04044745319853327,0.0393186136967591,0.04168002791015309,400
i80,frequency,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.10000000000000009,0.10000000000000009,0.10000000000000009,400
i80,frequency,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,0.0,400
i80,severity,star,Upper bound,saturation,0.9709964365122987,0.9673935386025181,0.9743736688998662,400
i80,severity,star,Upper bound,delta_abs_q50_s,1.15,1.15,1.15,400
i80,severity,star,Upper bound,delta_abs_q90_s,1.85,1.85,1.85,400
i80,severity,star,Upper bound,delta_abs_q95_s,2.25,2.2,2.3,400
i80,severity,star,Upper bound,delta_rel_q90_s,1.75,1.75,1.75,400
i80,severity,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
i80,severity,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,severity,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,severity,pi,Weak TTC,saturation,0.47062776609967344,0.4664766170763668,0.4750232306503209,400
i80,severity,pi,Weak TTC,delta_abs_q50_s,,,,400
i80,severity,pi,Weak TTC,delta_abs_q90_s,,,,400
i80,severity,pi,Weak TTC,delta_abs_q95_s,,,,400
i80,severity,pi,Weak TTC,delta_rel_q90_s,1.65,1.65,1.65,400
i80,severity,pi,Weak TTC,sat_gap_vs_star,0.5003686704126253,0.49581045708615434,0.5046894267655763,400
i80,severity,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
i80,severity,pi,Weak TTC,delta_rel90_penalty_vs_star_s,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,400
i80,severity,pi_tuned,Strong TTC,saturation,0.910867423562483,0.9071762310101571,0.9147861977493359,400
i80,severity,pi_tuned,Strong TTC,delta_abs_q50_s,1.15,1.15,1.15,400
i80,severity,pi_tuned,Strong TTC,delta_abs_q90_s,2.3,2.2,2.45,400
i80,severity,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
i80,severity,pi_tuned,Strong TTC,delta_rel_q90_s,1.7,1.7,1.7,400
i80,severity,pi_tuned,Strong TTC,sat_gap_vs_star,0.06012901294981576,0.057341371530358703,0.06250673606077121,400
i80,severity,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.44999999999999973,0.3500000000000001,0.5500000000000003,400
i80,severity,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,400
i80,severity,pi_sd,Stopping-distance,saturation,0.9112890236756299,0.9077800063996664,0.9150773127616411,400
i80,severity,pi_sd,Stopping-distance,delta_abs_q50_s,1.15,1.15,1.15,400
i80,severity,pi_sd,Stopping-distance,delta_abs_q90_s,2.25,2.15,2.35,400
i80,severity,pi_sd,Stopping-distance,delta_abs_q95_s,,,,400
i80,severity,pi_sd,Stopping-distance,delta_rel_q90_s,1.65,1.65,1.65,400
i80,severity,pi_sd,Stopping-distance,sat_gap_vs_star,0.059707412836668805,0.057426239267595665,0.0620247124591853,400
i80,severity,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.3999999999999999,0.2999999999999998,0.5,400
i80,severity,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,400
i80,severity,rss_longitudinal,RSS longitudinal,saturation,0.9172314008686336,0.9137152181706719,0.920844098728812,400
i80,severity,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,1.15,1.15,1.15,400
