recording_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
16,pi,0.5401358439951501,2.2,,,2.15,highd_external,severity,Weak TTC,273,0.4374372532260017,,-0.3500000000000001
16,pi_tuned,0.9356397386789846,1.6,3.25,,2.3,highd_external,severity,Strong TTC,273,0.041933358542167176,0.75,-0.20000000000000018
16,pi_sd,0.9721661041675199,1.6,2.55,3.0,2.5,highd_external,severity,Stopping-distance,273,0.005406993053631903,0.04999999999999982,0.0
16,rss_longitudinal,0.9775730972211518,1.6,2.55,3.0,2.5,highd_external,severity,RSS longitudinal,273,0.0,0.04999999999999982,0.0
17,star,1.0,1.4,2.25,2.45,2.25,highd_external,frequency,Upper bound,249,0.0,0.0,0.0
17,pi,0.6265060240963856,1.8,,,2.15,highd_external,frequency,Weak TTC,249,0.37349397590361444,,-0.10000000000000009
17,pi_tuned,0.9638554216867472,1.4,2.4,2.95,2.2,highd_external,frequency,Strong TTC,249,0.036144578313252795,0.1499999999999999,-0.04999999999999982
17,pi_sd,1.0,1.4,2.25,2.5,2.25,highd_external,frequency,Stopping-distance,249,0.0,0.0,0.0
17,rss_longitudinal,1.0,1.4,2.25,2.5,2.25,highd_external,frequency,RSS longitudinal,249,0.0,0.0,0.0
17,star,0.9999999999999998,1.75,2.45,2.95,2.45,highd_external,severity,Upper bound,249,0.0,0.0,0.0
17,pi,0.5068377116521581,2.35,,,2.2,highd_external,severity,Weak TTC,249,0.4931622883478417,,-0.25
17,pi_tuned,0.9373820188938238,1.75,2.75,,2.4,highd_external,severity,Strong TTC,249,0.062617981106176,0.2999999999999998,-0.050000000000000266
17,pi_sd,0.9999999999999998,1.75,2.45,2.95,2.45,highd_external,severity,Stopping-distance,249,0.0,0.0,0.0
17,rss_longitudinal,0.9999999999999998,1.75,2.45,2.95,2.45,highd_external,severity,RSS longitudinal,249,0.0,0.0,0.0
18,star,1.0000000000000004,1.35,2.1,2.3,2.1,highd_external,frequency,Upper bound,141,0.0,0.0,0.0
18,pi,0.6028368794326243,1.75,,,1.95,highd_external,frequency,Weak TTC,141,0.3971631205673761,,-0.15000000000000013
18,pi_tuned,0.9716312056737593,1.35,2.2,2.5,2.15,highd_external,frequency,Strong TTC,141,0.028368794326241176,0.10000000000000009,0.04999999999999982
18,pi_sd,1.0000000000000004,1.35,2.1,2.3,2.1,highd_external,frequency,Stopping-distance,141,0.0,0.0,0.0
18,rss_longitudinal,1.0000000000000004,1.35,2.1,2.3,2.1,highd_external,frequency,RSS longitudinal,141,0.0,0.0,0.0
18,star,1.0,1.65,2.3,3.05,2.3,highd_external,severity,Upper bound,141,0.0,0.0,0.0
18,pi,0.4909508815132459,,,,2.05,highd_external,severity,Weak TTC,141,0.509049118486754,,-0.25
18,pi_tuned,0.9474583675596678,1.7,2.45,,2.35,highd_external,severity,Strong TTC,141,0.052541632440332164,0.15000000000000036,0.050000000000000266
18,pi_sd,1.0,1.65,2.3,3.05,2.3,highd_external,severity,Stopping-distance,141,0.0,0.0,0.0
18,rss_longitudinal,1.0,1.65,2.3,3.05,2.3,highd_external,severity,RSS longitudinal,141,0.0,0.0,0.0
19,star,0.9963369963369964,1.2,2.15,2.4,2.15,highd_external,frequency,Upper bound,273,0.0,0.0,0.0
19,pi,0.6923076923076923,1.45,,,1.75,highd_external,frequency,Weak TTC,273,0.30402930402930406,,-0.3999999999999999
19,pi_tuned,0.9816849816849818,1.2,2.25,2.55,2.2,highd_external,frequency,Strong TTC,273,0.0146520146520146,0.10000000000000009,0.050000000000000266
19,pi_sd,0.9963369963369964,1.2,2.15,2.4,2.15,highd_external,frequency,Stopping-distance,273,0.0,0.0,0.0
19,rss_longitudinal,0.9963369963369964,1.2,2.15,2.4,2.15,highd_external,frequency,RSS longitudinal,273,0.0,0.0,0.0
19,star,0.9917071218502762,1.5,2.45,2.6,2.4,highd_external,severity,Upper bound,273,0.0,0.0,0.0
19,pi,0.5617741521257886,1.8,,,1.85,highd_external,severity,Weak TTC,273,0.4299329697244876,,-0.5499999999999998
19,pi_tuned,0.9614278093382101,1.5,2.65,4.2,2.5,highd_external,severity,Strong TTC,273,0.03027931251206606,0.19999999999999973,0.10000000000000009
19,pi_sd,0.9917071218502762,1.5,2.45,2.6,2.4,highd_external,severity,Stopping-distance,273,0.0,0.0,0.0
19,rss_longitudinal,0.9917071218502762,1.5,2.45,2.6,2.4,highd_external,severity,RSS longitudinal,273,0.0,0.0,0.0
