delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
2.05,0.8710063388260854,0.5588824244274022,0.8426156105854472,0.868023002843991,0.8665180815029653,0.8613249349875539,0.8782336607621327,0.5482918125301005,0.5693159839566494,0.8324822584430482,0.850850584559182,0.8583413931534191,0.8753582780693514,0.8567678902188283,0.8737129536557109,0.31212391439868314,0.028390728240638152,0.002983335982094326,0.004488257323120082,0.31212391439868314,0.028390728240638152,0.283733186158045,0.3091405784165888,0.30763565707556306,0.283733186158045
2.1,0.882892111523881,0.5638786447565571,0.8540072138386073,0.8798807885311046,0.8783336778419109,0.8738932622627502,0.8898864884924362,0.5530250125917336,0.5744708768953632,0.8441475393512866,0.8622733988928305,0.8711419608103342,0.88676070577561,0.8693940547343266,0.885488663972741,0.3190134667673239,0.02888489768527369,0.0030113229927763996,0.004558433681970175,0.3190134667673239,0.02888489768527369,0.2901285690820502,0.3160021437745475,0.3144550330853537,0.2901285690820502
2.15,0.8963028787203562,0.5691737695812792,0.8647559532055731,0.8935242755437062,0.8920899461823295,0.8876694926862826,0.9030045438503036,0.558231776147012,0.5795273142647402,0.8552656406299017,0.8724269231713052,0.8847545837722458,0.9001562382147451,0.8834437045994331,0.8985827577958343,0.327129109139077,0.03154692551478311,0.0027786031766500185,0.004212932538026681,0.327129109139077,0.03154692551478311,0.2955821836242939,0.324350505962427,0.3229161766010503,0.2955821836242939
2.2,0.9058948090854575,0.573318871333494,0.8736642880443921,0.9023319835574631,0.9008764615644639,0.8976362534434947,0.9121751926349462,0.5622552292875603,0.5837719772329296,0.8648428031278744,0.8809488153404955,0.8941963392062247,0.9088501897844496,0.8929217443093437,0.9072580971225259,0.3325759377519635,0.032230521041065385,0.003562825527994362,0.005018347520993616,0.3325759377519635,0.032230521041065385,0.3003454167108981,0.3290131122239691,0.32755759023096986,0.3003454167108981
2.25,0.9149602682472309,0.5790142646768517,0.8822321534365541,0.9114254234645283,0.909865166576886,0.9067593150088119,0.9206979919844078,0.568102595514316,0.5892092059414707,0.8735429337877804,0.8892257120023268,0.9036793486832553,0.9172930776272079,0.902079006109703,0.9155920112633946,0.3359460035703792,0.03272811481067672,0.0035348447827026064,0.0050951016703448815,0.3359460035703792,0.03272811481067672,0.30321788875970246,0.3324111587876766,0.3308509019000343,0.30321788875970246
2.3,0.9213720797286626,0.5826122433773091,0.8892957903849019,0.9183071018248515,0.9166553607232151,0.9137496469058055,0.9271638467064092,0.5718506757624761,0.592593789974494,0.8801136560596533,0.8959571553572335,0.9104499639089862,0.9240015548911382,0.9087228792672174,0.9223527030029453,0.33875983635135354,0.03207628934376072,0.003064977903811106,0.004716719005447567,0.33875983635135354,0.03207628934376072,0.3066835470075928,0.33569485844754243,0.33404311734590597,0.3066835470075928
2.35,0.9287105786003351,0.5863994822351606,0.8949630505042964,0.925680698422506,0.9238563153474286,0.9217338584488456,0.9338817843526475,0.5753091501869249,0.596606853627386,0.8868385073437015,0.9014637914650673,0.9187559638812711,0.9311619495709614,0.9167477059280733,0.9293426099456414,0.34231109636517454,0.03374752809603876,0.003029880177829125,0.004854263252906499,0.34231109636517454,0.03374752809603876,0.3085635682691358,0.3392812161873454,0.33745683311226804,0.3085635682691358
2.4,0.9346167302602975,0.5886817971967776,0.8994599207724665,0.9315704600936926,0.9297748873612265,0.9279172082167629,0.9399330606133292,0.5776113777971488,0.5990249485343706,0.8910295390763749,0.9058435250992194,0.9248807242849238,0.9369796076469324,0.9230390922593777,0.9350667218732882,0.34593493306351986,0.03515680948783095,0.0030462701666048586,0.004841842899070969,0.34593493306351986,0.03515680948783095,0.3107781235756889,0.342888662896915,0.3410930901644489,0.3107781235756889
2.45,0.9436656718861154,0.5913413860043695,0.9035763788137597,0.9403536048605972,0.9384127923938375,0.937532291273879,0.9485232821320279,0.5801929407674197,0.6017005402323217,0.8954572437157543,0.9097506098109338,0.9342113305810177,0.945218836210203,0.9323300184430291,0.9432582044893211,0.3523242858817459,0.04008929307235565,0.0033120670255182283,0.005252879492277929,0.3523242858817459,0.04008929307235565,0.31223499280939027,0.3490122188562277,0.347071406389468,0.31223499280939027
2.5,0.9487787771146343,0.5934972523418074,0.9074323063903234,0.9456100884048031,0.9434650495815181,0.9432158691352591,0.9538446584894579,0.5825885491322478,0.6041791714771229,0.8996058213182538,0.9138113796881476,0.9400118283789841,0.9506415962830074,0.9378084084990983,0.9484026525787294,0.35528152477282693,0.04134647072431097,0.0031686887098312244,0.005313727533116208,0.35528152477282693,0.04134647072431097,0.31393505404851596,0.3521128360629957,0.3499677972397107,0.31393505404851596
2.55,0.953826452323993,0.594181774494454,0.9119101987343745,0.9505769100641482,0.9482560572886085,0.9486945688029833,0.9582937307936433,0.5833794647735419,0.6049045415807779,0.9040007007710783,0.9177579219748243,0.9451958070879158,0.9555157255889207,0.9430048752294253,0.9532175311736019,0.359644677829539,0.04191625358961848,0.003249542259844751,0.005570395035384479,0.359644677829539,0.04191625358961848,0.31772842423992054,0.35639513556969427,0.35407428279415454,0.31772842423992054
2.6,0.9579505791583417,0.594279223379852,0.9153154825702552,0.9552369415649582,0.9530158807395294,0.9527163319054401,0.9623445820014718,0.5834060971889898,0.6049680271977036,0.9076582658233442,0.9210661185696883,0.9498093756262951,0.9598529451293252,0.9478759194187928,0.957713260045735,0.36367135577848975,0.04263509658808651,0.0027136375933835,0.004934698418812333,0.36367135577848975,0.04263509658808651,0.32103625919040324,0.36095771818510625,0.3587366573596774,0.32103625919040324
2.65,0.9611902283183494,0.5942878226772863,0.9186888981510741,0.9588316675127362,0.9564927447639702,0.9563636475950256,0.9653574790772121,0.5834060971889898,0.6049936828600577,0.9116501577455133,0.9243980277813015,0.9536593893040441,0.9632058194907823,0.9515055728894958,0.9608502659508772,0.36690240564106313,0.04250133016727531,0.0023585608056132523,0.004697483554379267,0.36690240564106313,0.04250133016727531,0.3244010754737878,0.3645438448354499,0.36220492208668387,0.3244010754737878
2.7,0.9638584594865465,0.5942878226772863,0.9211468421853737,0.961309644613898,0.958970721865132,0.9586892378910462,0.9678190443191643,0.5834060971889898,0.6049936828600577,0.9142564966041621,0.9268859571494001,0.9559474543730553,0.9654298648041345,0.9534540050937477,0.9634287440784082,0.36957063680926017,0.04271161730117279,0.002548814872648464,0.0048877376214144785,0.36957063680926017,0.04271161730117279,0.3268590195080874,0.3670218219366117,0.3646828991878457,0.3268590195080874
2.75,0.9666512966528386,0.5942878226772863,0.9246785847375671,0.9641907643420894,0.961751135894979,0.9615261612428939,0.9706651601307484,0.5834060971889898,0.6049936828600577,0.9179961024833223,0.9306477606452683,0.9588342226542101,0.9683383000098483,0.9562354743046114,0.9660016158985988,0.37236347397555225,0.04197271191527141,0.002460532310749164,0.004900160757859595,0.37236347397555225,0.04197271191527141,0.33039076206028084,0.3699029416648031,0.36746331321769266,0.33039076206028084
